[Wed May 25 08:41:38.917535 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917548 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917553 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917558 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917563 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917567 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917572 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917576 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355671 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355701 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355717 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355744 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355749 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355753 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355757 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355762 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355766 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815461 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815487 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815499 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815504 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815508 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815512 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815516 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815520 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:42.815525 2016] [:error] [pid 2134] [client 127.0.0.1:53775] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652137 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652174 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652186 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652192 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652204 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652209 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652213 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652217 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:46:09.652222 2016] [:error] [pid 2135] [client 127.0.0.1:53777] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:57:11.201369 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201400 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201414 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201422 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201430 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201438 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201446 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3359, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201454 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201460 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   7. wp_save_post_revision() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201465 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   8. _wp_put_post_revision() /home/serg/site/gmb/wp-includes/revision.php:159, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201472 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   9. wp_insert_post() /home/serg/site/gmb/wp-includes/revision.php:273, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201479 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP  10. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201487 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP  11. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.201493 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP  12. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235588 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235615 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235623 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235629 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235634 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235638 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235642 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235647 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:57:11.235651 2016] [:error] [pid 5024] [client 127.0.0.1:53839] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 08:59:36.248096 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:59:36.248127 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:59:36.248150 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:59:36.248156 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:59:36.248162 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:59:36.248170 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:59:36.248187 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:59:36.248194 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:59:36.248211 2016] [:error] [pid 4362] [client 127.0.0.1:53860] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 12:24:19.679475 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
[Wed May 25 12:24:19.679505 2016] [:error] [pid 5188] [client 127.0.0.1:56024] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=4&action=edit
